t_over_T,t,mx,norm
2.299999999999999822e+00,1.445132620651304833e+01,6.143939495086669922e-01,9.999999403953552246e-01
2.308333333333333126e+00,1.450368608407287674e+01,5.935297012329101562e-01,1.000000000000000000e+00
2.316666666666666430e+00,1.455604596163270692e+01,5.722169280052185059e-01,1.000000000000000000e+00
2.324999999999999734e+00,1.460840583919253710e+01,5.504722595214843750e-01,1.000000000000000000e+00
2.333333333333333037e+00,1.466076571675236728e+01,5.283128619194030762e-01,9.999999403953552246e-01
2.341666666666666785e+00,1.471312559431219746e+01,5.057556033134460449e-01,9.999999403953552246e-01
2.350000000000000089e+00,1.476548547187202765e+01,4.828175604343414307e-01,1.000000000000000000e+00
2.358333333333332948e+00,1.481784534943185605e+01,4.595161378383636475e-01,9.999999403953552246e-01
2.366666666666666696e+00,1.487020522699168623e+01,4.358689486980438232e-01,9.999999403953552246e-01
2.375000000000000000e+00,1.492256510455151641e+01,4.118933677673339844e-01,1.000000000000000000e+00
2.383333333333333304e+00,1.497492498211134659e+01,3.876074254512786865e-01,1.000000000000000000e+00
2.391666666666666607e+00,1.502728485967117678e+01,3.630290031433105469e-01,1.000000000000000000e+00
2.399999999999999911e+00,1.507964473723100696e+01,3.381763398647308350e-01,9.999999403953552246e-01
2.408333333333333215e+00,1.513200461479083536e+01,3.130677342414855957e-01,9.999999403953552246e-01
2.416666666666666519e+00,1.518436449235066554e+01,2.877216935157775879e-01,1.000000000000000000e+00
2.424999999999999822e+00,1.523672436991049572e+01,2.621568143367767334e-01,1.000000000000000000e+00
2.433333333333333126e+00,1.528908424747032591e+01,2.363920211791992188e-01,1.000000000000000000e+00
2.441666666666666430e+00,1.534144412503015609e+01,2.104460746049880981e-01,1.000000000000000000e+00
2.450000000000000178e+00,1.539380400258998627e+01,1.843380928039550781e-01,1.000000000000000000e+00
2.458333333333333037e+00,1.544616388014981467e+01,1.580872386693954468e-01,1.000000000000000000e+00
2.466666666666666341e+00,1.549852375770964485e+01,1.317127197980880737e-01,9.999999403953552246e-01
2.474999999999999645e+00,1.555088363526947504e+01,1.052338406443595886e-01,1.000000000000000000e+00
2.483333333333333393e+00,1.560324351282930522e+01,7.866998761892318726e-02,1.000000119209289551e+00
2.491666666666666696e+00,1.565560339038913540e+01,5.204063653945922852e-02,1.000000000000000000e+00
2.500000000000000000e+00,1.570796326794896558e+01,2.536521665751934052e-02,9.999999403953552246e-01
2.508333333333333304e+00,1.576032314550879398e+01,-1.336803776212036610e-03,1.000000119209289551e+00
2.516666666666666607e+00,1.581268302306862417e+01,-2.804594114422798157e-02,1.000000000000000000e+00
