sample_index,t_over_T,phase_fraction,a_plus_abs,a_minus_abs
1.500000000000000000e+02,3.750000000000000000e+01,5.000000000000000000e-01,7.085862159729003906e-01,7.056769728660583496e-01
1.510000000000000000e+02,3.775000000000000000e+01,7.500000000000000000e-01,9.189548492431640625e-01,3.944580852985382080e-01
1.520000000000000000e+02,3.800000000000000000e+01,0.000000000000000000e+00,1.000035643577575684e+00,2.085271524265408516e-03
1.530000000000000000e+02,3.825000000000000000e+01,2.500000000000000000e-01,9.205586314201354980e-01,3.907014131546020508e-01
1.540000000000000000e+02,3.850000000000000000e+01,5.000000000000000000e-01,7.056381702423095703e-01,7.086262106895446777e-01
1.550000000000000000e+02,3.875000000000000000e+01,7.500000000000000000e-01,3.945152461528778076e-01,9.189315438270568848e-01
1.560000000000000000e+02,3.900000000000000000e+01,0.000000000000000000e+00,2.142005600035190582e-03,1.000036478042602539e+00
1.570000000000000000e+02,3.925000000000000000e+01,2.500000000000000000e-01,3.906444311141967773e-01,9.205841422080993652e-01
1.580000000000000000e+02,3.950000000000000000e+01,5.000000000000000000e-01,7.086664438247680664e-01,7.055996060371398926e-01
1.590000000000000000e+02,3.975000000000000000e+01,7.500000000000000000e-01,9.189148545265197754e-01,3.945577740669250488e-01
1.600000000000000000e+02,4.000000000000000000e+01,0.000000000000000000e+00,1.000037670135498047e+00,2.194439526647329330e-03
1.610000000000000000e+02,4.025000000000000000e+01,2.500000000000000000e-01,9.206026792526245117e-01,3.906030952930450439e-01
1.620000000000000000e+02,4.050000000000000000e+01,5.000000000000000000e-01,7.055596113204956055e-01,7.087079882621765137e-01
1.630000000000000000e+02,4.075000000000000000e+01,7.500000000000000000e-01,3.946153223514556885e-01,9.188909530639648438e-01
1.640000000000000000e+02,4.100000000000000000e+01,0.000000000000000000e+00,2.254591556265950203e-03,1.000038623809814453e+00
1.650000000000000000e+02,4.125000000000000000e+01,2.500000000000000000e-01,3.905446231365203857e-01,9.206289052963256836e-01
1.660000000000000000e+02,4.150000000000000000e+01,5.000000000000000000e-01,7.087495923042297363e-01,7.055191397666931152e-01
1.670000000000000000e+02,4.175000000000000000e+01,7.500000000000000000e-01,9.188700318336486816e-01,3.946665823459625244e-01
1.680000000000000000e+02,4.200000000000000000e+01,0.000000000000000000e+00,1.000039100646972656e+00,2.315613441169261932e-03
1.690000000000000000e+02,4.225000000000000000e+01,2.500000000000000000e-01,9.206517934799194336e-01,3.904917538166046143e-01
1.700000000000000000e+02,4.250000000000000000e+01,5.000000000000000000e-01,7.054805159568786621e-01,7.087891101837158203e-01
1.710000000000000000e+02,4.275000000000000000e+01,7.500000000000000000e-01,3.947156071662902832e-01,9.188498854637145996e-01
