sample_index,t_over_T,phase_fraction,a_plus_abs,a_minus_abs
2.030000000000000000e+02,5.075000000000000000e+01,7.500000000000000000e-01,8.230900168418884277e-01,5.679968595504760742e-01
2.040000000000000000e+02,5.100000000000000000e+01,0.000000000000000000e+00,6.326873302459716797e-01,7.744705677032470703e-01
2.050000000000000000e+02,5.125000000000000000e+01,2.500000000000000000e-01,4.223401844501495361e-01,9.064916372299194336e-01
2.060000000000000000e+02,5.150000000000000000e+01,5.000000000000000000e-01,9.995341300964355469e-01,3.211061283946037292e-02
2.070000000000000000e+02,5.175000000000000000e+01,7.500000000000000000e-01,4.689296782016754150e-01,8.832924962043762207e-01
2.080000000000000000e+02,5.200000000000000000e+01,0.000000000000000000e+00,6.810801625251770020e-01,7.322776317596435547e-01
2.090000000000000000e+02,5.225000000000000000e+01,2.500000000000000000e-01,8.531652688980102539e-01,5.217370986938476562e-01
2.100000000000000000e+02,5.250000000000000000e+01,5.000000000000000000e-01,1.043465584516525269e-01,9.945917129516601562e-01
2.110000000000000000e+02,5.275000000000000000e+01,7.500000000000000000e-01,9.285290241241455078e-01,3.713966310024261475e-01
2.120000000000000000e+02,5.300000000000000000e+01,0.000000000000000000e+00,8.182260990142822266e-01,5.749850273132324219e-01
2.130000000000000000e+02,5.325000000000000000e+01,2.500000000000000000e-01,6.188369989395141602e-01,7.855843901634216309e-01
2.140000000000000000e+02,5.350000000000000000e+01,5.000000000000000000e-01,9.711096286773681641e-01,2.388494163751602173e-01
2.150000000000000000e+02,5.375000000000000000e+01,7.500000000000000000e-01,2.878560423851013184e-01,9.577279686927795410e-01
2.160000000000000000e+02,5.400000000000000000e+01,0.000000000000000000e+00,4.581766724586486816e-01,8.889197111129760742e-01
2.170000000000000000e+02,5.425000000000000000e+01,2.500000000000000000e-01,7.054800987243652344e-01,7.088031172752380371e-01
2.180000000000000000e+02,5.450000000000000000e+01,5.000000000000000000e-01,3.688887655735015869e-01,9.295302629470825195e-01
2.190000000000000000e+02,5.475000000000000000e+01,7.500000000000000000e-01,9.702407121658325195e-01,2.423624098300933838e-01
2.200000000000000000e+02,5.500000000000000000e+01,0.000000000000000000e+00,9.430397748947143555e-01,3.328412473201751709e-01
2.210000000000000000e+02,5.525000000000000000e+01,2.500000000000000000e-01,7.884464859962463379e-01,6.151908040046691895e-01
2.220000000000000000e+02,5.550000000000000000e+01,5.000000000000000000e-01,8.706288933753967285e-01,4.920505583286285400e-01
2.230000000000000000e+02,5.575000000000000000e+01,7.500000000000000000e-01,2.595704197883605957e-01,9.657807350158691406e-01
2.240000000000000000e+02,5.600000000000000000e+01,0.000000000000000000e+00,2.012912780046463013e-01,9.795874953269958496e-01
2.250000000000000000e+02,5.625000000000000000e+01,2.500000000000000000e-01,5.178982615470886230e-01,8.555065393447875977e-01
2.260000000000000000e+02,5.650000000000000000e+01,5.000000000000000000e-01,6.060585379600524902e-01,7.954896688461303711e-01
2.270000000000000000e+02,5.675000000000000000e+01,7.500000000000000000e-01,9.444521069526672363e-01,3.288186788558959961e-01
2.280000000000000000e+02,5.700000000000000000e+01,0.000000000000000000e+00,9.978767037391662598e-01,6.598322838544845581e-02
