t_over_T,t,sigma_x_magnus4,sigma_x_rk4,norm_magnus4,norm_rk4
2.308749999999999858e+01,1.450630407795086967e+02,-9.667274355888366699e-01,-9.674938917160034180e-01,1.000020027160644531e+00,9.989719390869140625e-01
2.309999999999999787e+01,1.451415805958484384e+02,-9.347559809684753418e-01,-9.359986186027526855e-01,1.000020146369934082e+00,9.989718794822692871e-01
2.311250000000000071e+01,1.452201204121881801e+02,-8.900233507156372070e-01,-8.917242288589477539e-01,1.000020146369934082e+00,9.989718794822692871e-01
2.312500000000000000e+01,1.452986602285279218e+02,-8.404802083969116211e-01,-8.423851728439331055e-01,1.000020146369934082e+00,9.989719390869140625e-01
2.313749999999999929e+01,1.453772000448676636e+02,-8.031024932861328125e-01,-8.046874403953552246e-01,1.000020027160644531e+00,9.989719390869140625e-01
2.315000000000000213e+01,1.454557398612074337e+02,-7.982252240180969238e-01,-7.988631129264831543e-01,1.000020146369934082e+00,9.989718794822692871e-01
2.316250000000000142e+01,1.455342796775471754e+02,-8.347347378730773926e-01,-8.340936899185180664e-01,1.000020027160644531e+00,9.989718198776245117e-01
2.317500000000000071e+01,1.456128194938869171e+02,-8.927925825119018555e-01,-8.912850618362426758e-01,1.000020146369934082e+00,9.989718198776245117e-01
2.318750000000000000e+01,1.456913593102266589e+02,-9.218886494636535645e-01,-9.207327961921691895e-01,1.000020146369934082e+00,9.989717602729797363e-01
2.319999999999999929e+01,1.457698991265664006e+02,-8.714820146560668945e-01,-8.719918727874755859e-01,1.000020027160644531e+00,9.989717006683349609e-01
2.321249999999999858e+01,1.458484389429061423e+02,-7.448818683624267578e-01,-7.472256422042846680e-01,1.000020146369934082e+00,9.989716410636901855e-01
2.322499999999999787e+01,1.459269787592458840e+02,-6.251844167709350586e-01,-6.277431845664978027e-01,1.000020146369934082e+00,9.989715814590454102e-01
2.323749999999999716e+01,1.460055185755856257e+02,-6.166033148765563965e-01,-6.171283721923828125e-01,1.000020027160644531e+00,9.989714622497558594e-01
2.324999999999999645e+01,1.460840583919253675e+02,-7.239750623703002930e-01,-7.220559716224670410e-01,1.000020146369934082e+00,9.989712834358215332e-01
2.326250000000000284e+01,1.461625982082651376e+02,-8.058813810348510742e-01,-8.040106892585754395e-01,1.000020146369934082e+00,9.989709854125976562e-01
